Router;Endereço;eth0;eth1;eth2;eth3;eth4;eth5;eth6;eth7;eth8
1;172.16.10.1/24;192.168.200.1/30;192.168.200.5/30;192.168.200.9/30
2;192.168.200.2/30;192.168.200.13/30;192.168.200.17/30;192.168.200.21/30
3;192.168.200.10/30;192.168.200.14/30;192.168.200.25/30;192.168.200.29/30;192.168.200.33/30;192.168.200.37/30
4;192.168.200.22/30;192.168.200.26/30;192.168.200.41/30;192.168.200.45/30;192.168.200.49/30;192.168.200.53/30
5;192.168.200.34/30;192.168.200.6/30;192.168.200.18/30;192.168.200.42/30;192.168.200.57/30;192.168.200.61/30
6;192.168.200.54/30;192.168.200.30/30;192.168.200.58/30;192.168.200.65/30;192.168.200.69/30
7;192.168.200.38/30;192.168.200.62/30;192.168.200.46/30;192.168.200.66/30;192.168.200.73/30
8;172.16.20.1/24;192.168.200.70/30;192.168.200.74/30;192.168.200.50/30
